Status,origin,zmax,zmean,zsd,zskew,zkurt,pzabovezmean,pzabove2,zq5,zq10,zq15,zq20,zq25,zq30,zq35,zq40,zq45,zq50,zq55,zq60,zq65,zq70,zq75,zq80,zq85,zq90,zq95,zpcum1,zpcum2,zpcum3,zpcum4,zpcum5,zpcum6,zpcum7,zpcum8,zpcum9,Target
1,0,0.482936411,0.393574957,0.640931112,0.417088498,0.000798615,0.653558705,0.543409138,0,0,0,0,0,0.001147666,0.003602305,0.007518797,0.477039275,0.512887344,0.516935036,0.519891746,0.521762208,0.525039124,0.526261718,0.527447508,0.530135101,0.531118274,0.525862069,0.228816262,0.217799271,0.216588524,0.21468389,0.208958124,0.211244484,0.275474418,0.485716354,0.702998311,395.0950298
1,0,0.619445126,0.744484328,0.66919167,0.315335396,0.035721442,0.972526414,0.832259991,0,0,0.009643606,0.261678379,0.964183964,0.943764346,0.908501441,0.8372017,0.783685801,0.760208514,0.734869517,0.721244926,0.711518047,0.704486176,0.698600231,0.693903365,0.691268451,0.687329531,0.678817734,0.066177013,0.098509077,0.116252257,0.120478698,0.113526875,0.11217979,0.112576255,0.120255933,0.182445786,846.7707322
1,0,0.590964891,0.552324053,0.719416518,0.387989282,0.005109771,0.749769292,0.738539912,0,0,0.003773585,0.035138487,0.079365079,0.111323642,0.169308357,0.712651193,0.686102719,0.673037938,0.656302054,0.648443843,0.642781316,0.638497653,0.634390651,0.629850746,0.62672004,0.622861394,0.613054187,0.217497807,0.280966856,0.292151163,0.288403667,0.281392243,0.280212921,0.282977474,0.416297337,0.870808209,500.2793429
1,0,0.585317947,0.735131648,0.21134304,0.251784673,0.194261292,0.687752076,0.986704738,0.679822616,0.704448246,0.719916143,0.742868954,0.774521775,0.759372609,0.733429395,0.678653155,0.639879154,0.623805387,0.606885064,0.598917456,0.593949045,0.592592593,0.59329652,0.595750063,0.599449587,0.60451277,0.605665025,0.001473127,0,0,0,0.010707937,0.162536268,0.36105137,0.722316651,0.873967165,526.7440015
1,0,0.297814878,0.381137345,0.203121812,0.251367396,0.095055242,0.959944883,0.893754671,0,0.011976048,0.432285115,0.451426209,0.457468457,0.439938791,0.422550432,0.387708401,0.363141994,0.352447147,0.341476957,0.335859269,0.331740977,0.329681794,0.327982535,0.326587402,0.325744308,0.323580461,0.315763547,0.050555148,0.047750899,0.052850075,0.056430032,0.053566517,0.110089893,0.504413896,0.914992148,0.984997527,327.6077146
1,0,0.336361404,0.305947814,0.420100739,0.40578957,0.003573302,0.706542935,0.603296007,0,0,0.004612159,0.009921455,0.019129019,0.025248661,0.036743516,0.22556391,0.355589124,0.370692152,0.370349806,0.373207037,0.375530786,0.378716745,0.381661744,0.38375917,0.385288967,0.385569055,0.379802956,0.336246181,0.329513883,0.332602665,0.334805444,0.339170332,0.371051919,0.49503153,0.715095774,0.889007291,279.1525844
1,0,0.183402897,0.298220794,0.145712182,0.262231207,0.089799102,0.870376898,0.894204306,0,0.023952096,0.323689727,0.340636627,0.349206349,0.338561591,0.326729107,0.301732592,0.283987915,0.276860701,0.269294836,0.265493911,0.263269639,0.26238915,0.261975087,0.261573488,0.261696272,0.259360278,0.249014778,0.031449539,0.028998998,0.031050314,0.031296588,0.02965367,0.079464447,0.309976005,0.646723895,0.834772757,244.3150558
1,0,0.40878959,0.223266213,0.48400568,0.484918293,0.00914491,0.401936028,0.429422242,0,0,0,0,0,0.003442999,0.00648415,0.011441648,0.016012085,0.019982624,0.051485286,0.122922869,0.28087845,0.369327074,0.407409786,0.424993676,0.433825369,0.438383337,0.438669951,0.43572002,0.471834607,0.498000747,0.515210597,0.532388561,0.568780325,0.630873533,0.754180658,0.8894149,167.0728705
1,0,0.466977658,0.441991534,0.532514003,0.399108785,0.004484752,0.72592959,0.815701178,0.023946785,0.050470488,0.072536688,0.092186854,0.109483109,0.125095639,0.14445245,0.477933965,0.509365559,0.513756154,0.508051083,0.506359946,0.506369427,0.507172666,0.509310389,0.510751328,0.512884663,0.513265559,0.507635468,0.225224298,0.381236166,0.387206377,0.382493118,0.375988313,0.383223747,0.448454946,0.646064526,0.823932223,312.6994094
1,0,0.388902529,0.392906307,0.338077173,0.371232438,0.026578014,0.673338045,0.849255655,0,0.005132592,0.100628931,0.288548987,0.345543346,0.362662586,0.369866715,0.358613926,0.350453172,0.35621199,0.3667407,0.376454668,0.386942675,0.397756912,0.407088738,0.413862889,0.420565424,0.424993801,0.424630542,0.084378915,0.091622451,0.118816961,0.192599595,0.325098752,0.481973844,0.627944541,0.790915707,0.890863881,194.994384
1,0,0.230542598,0.181591783,0.203053059,0.432216103,0.011210326,0.61175655,0.688305769,0.003991131,0.01283148,0.020125786,0.025217032,0.030932031,0.074980872,0.123919308,0.140241909,0.15347432,0.170286707,0.180177679,0.191610284,0.20072983,0.212310902,0.221137794,0.229749557,0.236927696,0.243515993,0.24408867,0.28326253,0.31603319,0.392836153,0.485384729,0.603250665,0.738354939,0.880266998,0.972298731,0.985618434,116.7693462
1,0,0.28382028,0.239211809,0.213869537,0.406678283,0.017786764,0.670066099,0.780056811,0.013303769,0.032506416,0.044025157,0.053741215,0.168498168,0.197781178,0.214697406,0.218045113,0.220241692,0.227338546,0.228761799,0.233558863,0.24044586,0.248043818,0.255040452,0.263344295,0.272204153,0.279940491,0.284236453,0.206404834,0.21808614,0.286327807,0.40020881,0.559091547,0.739216187,0.891032096,0.974006649,0.989821145,110.1555474
1,0,0.163515836,0.194718071,0.128235926,0.378112327,0.028507727,0.660541815,0.856068972,0,0.00855432,0.107442348,0.155022737,0.175824176,0.185539403,0.189481268,0.182085649,0.178851964,0.181870837,0.182953914,0.186197564,0.190286624,0.194314032,0.198022345,0.202377941,0.206905179,0.208777585,0.204679803,0.077295976,0.088812032,0.140600398,0.261395504,0.428082792,0.60474876,0.797913065,0.935799525,0.98517412,116.4708988
1,0,0.267124969,0.255294616,0.124956567,0.349630595,0.053103964,0.713696163,0.913811203,0.02616408,0.145851155,0.212578616,0.244315833,0.262515263,0.262433053,0.260446686,0.246158875,0.235649547,0.232551405,0.229039423,0.228416779,0.228768577,0.230307773,0.232952356,0.235264356,0.237865899,0.239771882,0.236945813,0.069150415,0.082267194,0.128612,0.255531948,0.508194397,0.810332865,0.973220288,0.996446332,0.993242117,129.1244914
1,0,0.202062362,0.214179555,0.178718933,0.38356805,0.016100151,0.74572455,0.780744539,0.008425721,0.020958084,0.031446541,0.064489458,0.123728124,0.17061974,0.211293228,0.220660347,0.219939577,0.222415291,0.22182121,0.222192152,0.223460722,0.225352113,0.227751381,0.230710853,0.233925444,0.235556658,0.231527094,0.18405483,0.222102095,0.2727329,0.317931249,0.386423374,0.560907998,0.805461698,0.951407981,0.994639902,92.17621246
1,0,0.178001473,0.221559451,0.183581715,0.355414567,0.023999252,0.82641356,0.776684963,0,0,0.003773585,0.013642001,0.215710216,0.244452946,0.25,0.237332462,0.229305136,0.227917753,0.225985564,0.225710419,0.226380042,0.227699531,0.22935662,0.230963825,0.232074056,0.232184478,0.226847291,0.108753602,0.107342353,0.113630607,0.136050626,0.195452665,0.373488619,0.629204325,0.873476561,0.95540771,170.2104846
