AREA,AGE,SITE_INDEX,L7_M_20000813_B1,L7_M_20000813_B2,L7_M_20000813_B3,L7_M_20000813_B4,L7_M_20000813_B5,L7_M_20000813_B7,Target
0.05283068092877641,0.18787878787878787,0.33909278195452075,0.31352476878564145,0.4965940656972839,0.37858468100513876,0.6257246833887431,0.4853131573210108,0.3801616800509024,78.54082
0.024132533263762065,0.696969696969697,0.24540122090956473,0.3070701443987686,0.7391896925918106,0.4350453158581962,0.910912813404015,0.6791878753551625,0.5152898823241467,115.66078
0.2038872945473519,0.503030303030303,0.20689796843517386,0.3646763611430551,0.5649794604378988,0.4149517729452358,0.8335494825593085,0.6449172281819971,0.4839036887483892,186.04947
0.17036264022958514,0.5272727272727272,0.23058917086014133,0.3184585927821411,0.5128763376086781,0.3676812883006371,0.7471011565557144,0.6364341734466405,0.4789292213884847,196.99396
0.08492042786329244,0.21818181818181817,0.2243373451188164,0.29172451713964476,0.43328026954135257,0.38828587552413146,0.4838855564344259,0.4390147733353831,0.38187311439880595,83.50726
0.05439603443777719,0.15151515151515152,0.2810997517165886,0.31314512060577354,0.4555269620341242,0.42529642811433377,0.5027265217392684,0.43096680637225515,0.37197665713513817,56.77525
0.415992695016958,0.18181818181818182,0.22898895972697528,0.35841002971952324,0.5591928060540378,0.4885837724996038,0.5777360326592992,0.5413104342425822,0.48484958095204833,61.90265
0.16123141142708058,0.21818181818181817,0.26441695875626414,0.2854695089313819,0.39364486912899105,0.3605976242248691,0.44346036733262273,0.39733079773361873,0.3511697767494427,198.29407
0.03378554656926689,0.09696969696969697,0.40561905295772704,0.3002272191863978,0.4611353038323166,0.3726209323654103,0.838351502066029,0.6274892797105275,0.4495345041758568,34.18291
0.03130707018001565,0.2727272727272727,0.4437476694052932,0.26858609645898135,0.4057262476102348,0.29420836342343454,0.7957516431443707,0.553088287482075,0.38850194497170343,475.61865
0.10018262457605007,0.07272727272727272,0.5844398616910639,0.39950404317121824,0.5539734688642018,0.38522443733997536,0.8629729535294945,0.6213418679388454,0.4409665327279737,30.19582
0.10331333159405165,0.1696969696969697,0.3605528806063533,0.30316904748543444,0.4922574304453227,0.364829217538003,0.6860627927802331,0.5443339638435014,0.41221549841505917,119.40618
0.0686146621445343,0.503030303030303,0.31116986366521465,0.447710495723243,0.5954148721676219,0.5341983897568322,0.6680590710978237,0.6033315262924932,0.5378551681837063,312.19336
0.15862248891207928,0.3939393939393939,0.3342155501108762,0.37558211296609273,0.5556449177337806,0.46973736232328084,0.714183699937512,0.5628025737469959,0.47404105028979016,151.50821
0.12079311244456038,0.3878787878787879,0.32203622340423677,0.28832516685006954,0.41574710134552356,0.3725972449072297,0.4949226925020837,0.31853618157953256,0.26035423814121544,433.4906
0.056483172449778234,0.23030303030303031,0.2784141058123944,0.3861635152045856,0.49588986639313054,0.5056589815056125,0.4868469085828609,0.3425331634892014,0.3474943672675989,188.75957
