zq70
origin*zpcum2
zmax*zq45
zmax*zq55
zmean*zsd
zmean*zq45
zmean*zq75
zsd*zq35
zskew*zq40
pzabovezmean*zq50
zq40*zq95
zq45*zq95
zq50*zq90
zq55*zq95
zq65*zq75
zq70*zq95
zq70*zpcum5
zq75*zq90
zq75*zpcum9
zpcum1*zpcum8
