AREA,AGE,SITE_INDEX,L7_M_20000813_B1,L7_M_20000813_B2,L7_M_20000813_B3,L7_M_20000813_B4,L7_M_20000813_B5,L7_M_20000813_B7,AREA*AREA,AREA*AGE,AREA*SITE_INDEX,AREA*L7_M_20000813_B1,AREA*L7_M_20000813_B2,AREA*L7_M_20000813_B3,AREA*L7_M_20000813_B4,AREA*L7_M_20000813_B5,AREA*L7_M_20000813_B7,AGE*AGE,AGE*SITE_INDEX,AGE*L7_M_20000813_B1,AGE*L7_M_20000813_B2,AGE*L7_M_20000813_B3,AGE*L7_M_20000813_B4,AGE*L7_M_20000813_B5,AGE*L7_M_20000813_B7,SITE_INDEX*SITE_INDEX,SITE_INDEX*L7_M_20000813_B1,SITE_INDEX*L7_M_20000813_B2,SITE_INDEX*L7_M_20000813_B3,SITE_INDEX*L7_M_20000813_B4,SITE_INDEX*L7_M_20000813_B5,SITE_INDEX*L7_M_20000813_B7,L7_M_20000813_B1*L7_M_20000813_B1,L7_M_20000813_B1*L7_M_20000813_B2,L7_M_20000813_B1*L7_M_20000813_B3,L7_M_20000813_B1*L7_M_20000813_B4,L7_M_20000813_B1*L7_M_20000813_B5,L7_M_20000813_B1*L7_M_20000813_B7,L7_M_20000813_B2*L7_M_20000813_B2,L7_M_20000813_B2*L7_M_20000813_B3,L7_M_20000813_B2*L7_M_20000813_B4,L7_M_20000813_B2*L7_M_20000813_B5,L7_M_20000813_B2*L7_M_20000813_B7,L7_M_20000813_B3*L7_M_20000813_B3,L7_M_20000813_B3*L7_M_20000813_B4,L7_M_20000813_B3*L7_M_20000813_B5,L7_M_20000813_B3*L7_M_20000813_B7,L7_M_20000813_B4*L7_M_20000813_B4,L7_M_20000813_B4*L7_M_20000813_B5,L7_M_20000813_B4*L7_M_20000813_B7,L7_M_20000813_B5*L7_M_20000813_B5,L7_M_20000813_B5*L7_M_20000813_B7,L7_M_20000813_B7*L7_M_20000813_B7,Target
0.10018262,0.07272727,0.5844399,0.399504,0.55397344,0.38522446,0.862973,0.6213419,0.44096652,0.010341264,0.011300661,0.16980416,0.119825505,0.10832265,0.09516853,0.1197441,0.11530285,0.09708285,0.005289256,0.12976421,0.053716555,0.07219889,0.055365067,0.07279015,0.06887102,0.06557582,0.34156996,0.44263437,0.43600675,0.3317859,0.59354895,0.5239976,0.40151832,0.23638095,0.34842175,0.24388546,0.7538063,0.4602833,0.33692217,0.390225,0.27414787,0.66619086,0.4104997,0.30122623,0.19301543,0.46500134,0.28684622,0.21125133,0.7761398,0.6811019,0.50559944,0.42131025,0.31159347,0.23012614,30.19582
0.103313334,0.16969697,0.36055285,0.30316904,0.4922574,0.36482924,0.6860628,0.544334,0.41221547,0.010986779,0.027178498,0.10797477,0.104603305,0.103077546,0.094091766,0.10242035,0.10590694,0.09458117,0.028797062,0.1867931,0.10631888,0.15560366,0.12392919,0.14105965,0.14325558,0.14463988,0.12999839,0.23163263,0.24844763,0.19635776,0.3041159,0.28817523,0.23415422,0.15952209,0.2630231,0.19419478,0.51576114,0.34264028,0.26592433,0.32661808,0.24046229,0.5021003,0.3350564,0.26097062,0.17675753,0.36653218,0.2440764,0.19080828,0.52790564,0.50038147,0.39382428,0.3334552,0.26157555,0.20498541,119.40618
0.06861466,0.5030303,0.31116986,0.4477105,0.5954148,0.5341984,0.6680591,0.6033315,0.53785515,0.004923985,0.05394341,0.06239413,0.08864313,0.07830124,0.08510204,0.06694637,0.07739896,0.0792747,0.25303948,0.4778697,0.3997523,0.52497405,0.49674484,0.4094579,0.46426478,0.53718126,0.09682669,0.25356472,0.24404019,0.22914813,0.25701237,0.27190632,0.25318807,0.27957934,0.40012902,0.34944698,0.65314025,0.4837423,0.43519887,0.43576917,0.38168606,0.56399775,0.42099705,0.378985,0.332247,0.49163145,0.36488926,0.32893518,0.50522035,0.53675747,0.48646358,0.3998596,0.3606478,0.3252598,312.19336
0.15862249,0.3939394,0.33421555,0.3755821,0.55564487,0.46973735,0.7141837,0.56280255,0.47404104,0.02561221,0.0963245,0.15280445,0.18211997,0.17141844,0.17577986,0.16178362,0.16668311,0.1626724,0.15518825,0.4019517,0.2800006,0.39188588,0.35045356,0.33808133,0.3422691,0.37755567,0.111700036,0.24358507,0.24984866,0.22172123,0.2910448,0.2749256,0.24406037,0.21611749,0.33434302,0.27711502,0.61295795,0.4037893,0.3451194,0.39201787,0.3247143,0.567006,0.3760599,0.32189178,0.26758006,0.46598288,0.30815923,0.26438215,0.5642915,0.5326357,0.45953152,0.35360605,0.30371577,0.2607964,151.50821
0.12079312,0.38787878,0.32203624,0.28832516,0.4157471,0.37259725,0.4949227,0.3185362,0.26035422,0.014949953,0.07246314,0.11249359,0.11882584,0.10796574,0.11169773,0.0930755,0.07931069,0.07652124,0.15044996,0.38134545,0.23631589,0.31922376,0.28784242,0.25133795,0.2105345,0.22954972,0.10370733,0.20118523,0.19917007,0.1782145,0.21174257,0.16549398,0.14521267,0.14880136,0.22371164,0.19162072,0.37844744,0.20591062,0.17260541,0.25477234,0.21741502,0.339755,0.18629584,0.15657614,0.18287015,0.28629774,0.15652497,0.13221614,0.31136298,0.24332634,0.20650235,0.13398266,0.113257825,0.09565227,433.4906
0.056483172,0.23030303,0.2784141,0.38616353,0.49588987,0.505659,0.48684692,0.34253317,0.34749436,0.0033704857,0.020435723,0.046193782,0.0664198,0.056920234,0.06713551,0.043361645,0.03965657,0.04535441,0.053039487,0.19575313,0.1665279,0.21220365,0.21744388,0.14744867,0.13238187,0.17072505,0.07751442,0.20643009,0.19278118,0.19602811,0.18087304,0.15152013,0.15725623,0.22498466,0.3123888,0.30102694,0.45272276,0.26450926,0.26700777,0.33022198,0.31884032,0.3799186,0.22398117,0.22605126,0.30278435,0.36490086,0.21384852,0.21556775,0.30339533,0.2553012,0.2590246,0.15106471,0.15231569,0.15356553,188.75957
0.14075136,0.3939394,0.27445588,0.28164333,0.41892546,0.33779338,0.5338889,0.3592898,0.28042948,0.020219743,0.08558695,0.111494295,0.13661548,0.12633027,0.12071977,0.11462,0.1016106,0.09426666,0.15518825,0.33008042,0.23694587,0.32574913,0.2715187,0.26998287,0.23525397,0.24670422,0.07532603,0.16927262,0.17054798,0.14106603,0.19086257,0.15517806,0.13096002,0.14407332,0.22153269,0.17379986,0.3974456,0.22557087,0.18127547,0.25760248,0.20144778,0.36345726,0.2076994,0.16749042,0.15624683,0.28089467,0.16013241,0.12980545,0.35115355,0.28560004,0.2328489,0.16357335,0.13290447,0.107842766,296.47903
0.13201147,0.38787878,0.30711642,0.32047608,0.43383813,0.42963463,0.44468012,0.3637408,0.35522687,0.017814342,0.079099804,0.1171074,0.13787745,0.12116255,0.13636096,0.09405309,0.09630034,0.106669456,0.15044996,0.36367786,0.25082484,0.32784048,0.32143977,0.23265299,0.23393919,0.2926825,0.09432049,0.20364417,0.19506967,0.18979561,0.18692052,0.17537199,0.17657238,0.17240013,0.24800055,0.23136762,0.37091467,0.24683325,0.24114281,0.27106005,0.25251058,0.32108897,0.21495074,0.2100029,0.2307525,0.2966017,0.19627164,0.19172253,0.2633487,0.25070393,0.24633761,0.16697624,0.16310921,0.15933198,260.8121
0.025958776,0.096969694,0.282771,0.30700842,0.54556125,0.40129617,0.7357641,0.47496313,0.36315167,0.00075932464,0.004090038,0.022301195,0.026794052,0.028328389,0.025998728,0.028086098,0.024466667,0.022123694,0.009403123,0.08371218,0.0611868,0.09526351,0.07618681,0.08522644,0.07288113,0.07448901,0.07995943,0.18295784,0.20875917,0.16567546,0.25218228,0.20121676,0.16550459,0.1623438,0.28744474,0.21232243,0.55257344,0.30493602,0.23939724,0.38125786,0.28045264,0.5738853,0.3188279,0.25143388,0.20630255,0.41960555,0.2334242,0.18475637,0.59300214,0.47015563,0.37459573,0.2629462,0.20862888,0.16534798,36.7
0.047091052,0.35757574,0.3717152,0.2444316,0.3717709,0.33666357,0.5083742,0.2562932,0.18679458,0.0023692455,0.026606955,0.051717717,0.04253964,0.039520174,0.040636398,0.03745314,0.02643785,0.023686422,0.12786043,0.40578517,0.19959311,0.27497497,0.24584192,0.23631391,0.16437788,0.16649027,0.13817218,0.2127562,0.21481055,0.19058019,0.24927168,0.16178408,0.13187125,0.11885311,0.18488686,0.1591873,0.35023278,0.15479793,0.118446365,0.21698864,0.18531612,0.3219735,0.14394315,0.110846005,0.15541552,0.26945332,0.12098903,0.094155535,0.32484707,0.20814192,0.16283384,0.09423925,0.0733462,0.05687491,486.18185
